HVC889195	test14_kf\HVC889195\	6,7,8;1;45,49,50,51,52,53,58,59,60,61,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,85,86,92
HVC951787	test14_kf\HVC951787\	24,25,26,27;5,7,8,9;1,2,3,6,10,11,12,13,30
HVC243211	test14_kf\HVC243211\	4,5;8,12;39,40
HVC243203	test14_kf\HVC243203\	34,35,160,161,165,166,167,171,174;20,36,154,168,169,170,172;32,33,158,159,162,163,164,173,175
HVC795363	test14_kf\HVC795363\	1,2,5,6,7,8,9,10,11,12;3,4
HVC242167	test14_kf\HVC242167\	4,23,26,36;25;5,6,7,8,9,12,17
HVC946976	test14_kf\HVC946976\	5;4;1,2,3,6
HVC989298	test14_kf\HVC989298\	41,42,59;2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,40,53,54,55,56,57,58,61,62,64,65,66,72,76,78,79,81,82,83,84,85,94,101,103,110,124,163,165,167,168,173,174,175,182,192,193,194,196,197,199,200,202,203,204,205,206,207,208,209,213,216,217,222,223,228,229,231,232;46,74,75,77,87,88,89,98,99,113,114
HVC340657	test14_kf\HVC340657\	66;64;52,53,54,55
HVC763480	test14_kf\HVC763480\	20;19;13,21
HVC331450	test11_kf\HVC331450\	133,136,140;50,131,132;115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130
HVC400459	test11_kf\HVC400459\	29,55;54,57;41
HVC737771	test11_kf\HVC737771\	15;8,9,10,11,12,13;1,2,4
HVC607823	test11_kf\HVC607823\	144;145;146
HVC697069	test11_kf\HVC697069\	8;7,9;1,2,3,4,5,6
HVC235557	test11_kf\HVC235557\	25;20;26
HVC260038	test11_kf\HVC260038\	33,35;36;39
HVC766461	test11_kf\HVC766461\	77;11;25,34
HVC425071	test11_kf\HVC425071\	125;51;46,47,48,49,52,64,66,106,131
HVC081073	test11_kf\HVC081073\	11;9,10;12
HVC525814	test11_kf\HVC525814\	104,106,107;105,108;109,127,128,129
HVC712002	test11_kf\HVC712002\	33;15;34
HVC935078	test11_kf\HVC935078\	1,2,3;7,10,11,12,13,14,15;4,5,6,8,9
HVC742724	test11_kf\HVC742724\	15,32,85,86,87,115,130,133,134,135,136,141,222,223,224,225,229,230,231,232,233,234,235,248,249,250,270,273,284;112,213,214,215,216,217,218,257;113,114,116,117,118,119,120,121,122,123,124,125,126,127,128,129,137,138,139,140,147,148
HVC680032	test11_kf\HVC680032\	115,136,137,149,151,154,155,157,158,159,164,165,166,167,174,176,182,187,188;46,84,87,109,116,131,132,133,134,138,139,140,141,142,143,144,145,147,148,152,153,163,180,184,185;68,69,70,72,73,83,146,175,196
HVC456219	test11_kf\HVC456219\	7;2,3,4,5,9,10,12;1
