HVC891989	test14_kf\HVC891989\	132,135,65
HVC744647	test14_kf\HVC744647\	48,57,58
HVC059612	test14_kf\HVC059612\	22,135,21
HVC469058	test14_kf\HVC469058\	124,120,123
HVC798646	test14_kf\HVC798646\	48,35,44
HVC824007	test14_kf\HVC824007\	50,49,48
HVC211077	test14_kf\HVC211077\	6,7,24
HVC149439	test14_kf\HVC149439\	79,87,80
HVC936138	test14_kf\HVC936138\	26,25,23
HVC783390	test14_kf\HVC783390\	12,40,38
HVC467795	test11_kf\HVC467795\	25,5,14
HVC918605	test14_kf\HVC918605\	9,4,5
HVC453551	test11_kf\HVC453551\	2,37,1
HVC274685	test14_kf\HVC274685\	106,90,107
HVC915442	test14_kf\HVC915442\	9,10,11
HVC981499	test14_kf\HVC981499\	64,63,40
HVC212825	test14_kf\HVC212825\	368,41,227
HVC859907	test14_kf\HVC859907\	37,26,38
HVC293111	test14_kf\HVC293111\	167,177,180
HVC347667	test14_kf\HVC347667\	6,1,2
HVC889620	test14_kf\HVC889620\	59,28,51
HVC888279	test11_kf\HVC888279\	2,10,12
HVC958397	test11_kf\HVC958397\	31,32,48
HVC077507	test11_kf\HVC077507\	17,1,18
HVC415628	test11_kf\HVC415628\	13,12,11
HVC318160	test11_kf\HVC318160\	50,62,85
